#Variables:
#tasmax_CCSM4_historical(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 37.3438 Latitude, -79.8438 Longitude (closest value to Latitude:37.3145, Longitude:-79.8181) "
#Original Data File(s):
#macav2livneh_tasmax_CCSM4_r6i1p1_historical_1950_2005_CONUS_daily_aggregated.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_CCSM4_historical(K)"
""
yyyy-mm-dd,tasmax_CCSM4_historical(K)
1950-01-01,279.584320
1950-01-02,288.385620
1950-01-03,279.045807
1950-01-04,277.541412
1950-01-05,279.603485
1950-01-06,281.655090
1950-01-07,279.031067
1950-01-08,277.683746
1950-01-09,278.304047
1950-01-10,278.744781
1950-01-11,273.489563
1950-01-12,279.987030
1950-01-13,281.271667
1950-01-14,282.452667
1950-01-15,285.441467
1950-01-16,283.416229
1950-01-17,281.626923
1950-01-18,276.931366
1950-01-19,276.935059
1950-01-20,273.159607
1950-01-21,273.089722
1950-01-22,273.152222
1950-01-23,277.260345
1950-01-24,276.308380
1950-01-25,276.239563
1950-01-26,279.104248
1950-01-27,273.496063
1950-01-28,279.588684
1950-01-29,276.621765
1950-01-30,278.856323
1950-01-31,278.975403
1950-02-01,282.553162
1950-02-02,285.452942
1950-02-03,287.002533
1950-02-04,283.293488
1950-02-05,283.196838
1950-02-06,284.340942
1950-02-07,281.213715
1950-02-08,270.773224
1950-02-09,271.957489
1950-02-10,272.202820
1950-02-11,270.405914
1950-02-12,274.226227
1950-02-13,279.206970
1950-02-14,279.574188
1950-02-15,284.364990
1950-02-16,276.822510
1950-02-17,278.432251
1950-02-18,283.696045
1950-02-19,286.992828
1950-02-20,286.354736
1950-02-21,289.827118
1950-02-22,288.201019
1950-02-23,287.471405
1950-02-24,284.896515
1950-02-25,281.520233
1950-02-26,287.135101
1950-02-27,286.271973
1950-02-28,279.574493
1950-03-01,279.833893
1950-03-02,284.917938
1950-03-03,277.533966
1950-03-04,277.178528
1950-03-05,280.532501
1950-03-06,275.016632
1950-03-07,287.145996
1950-03-08,281.273376
1950-03-09,275.249115
1950-03-10,282.854370
1950-03-11,293.985046
1950-03-12,289.378632
1950-03-13,289.205872
1950-03-14,286.529388
1950-03-15,292.323883
1950-03-16,297.322449
1950-03-17,288.480591
1950-03-18,293.036407
1950-03-19,293.620453
1950-03-20,289.150848
1950-03-21,286.268524
1950-03-22,282.114655
1950-03-23,282.673309
1950-03-24,283.378784
1950-03-25,283.308960
1950-03-26,282.946106
1950-03-27,280.806183
1950-03-28,275.607361
1950-03-29,285.078247
1950-03-30,284.873901
1950-03-31,286.464264
1950-04-01,285.005798
1950-04-02,290.159698
1950-04-03,290.562378
1950-04-04,291.393585
1950-04-05,281.448822
1950-04-06,283.319336
1950-04-07,289.912140
1950-04-08,287.119324
1950-04-09,291.274017
1950-04-10,286.256042
1950-04-11,284.205994
1950-04-12,283.216461
1950-04-13,294.420166
1950-04-14,297.821136
1950-04-15,297.740509
1950-04-16,290.007751
1950-04-17,286.040802
1950-04-18,293.120667
1950-04-19,287.968933
1950-04-20,287.739777
1950-04-21,287.869354
1950-04-22,294.261261
1950-04-23,293.175995
1950-04-24,291.855469
1950-04-25,298.340790
1950-04-26,299.129578
1950-04-27,301.810760
1950-04-28,299.457489
1950-04-29,292.926819
1950-04-30,295.085052
1950-05-01,297.578461
1950-05-02,302.960449
1950-05-03,302.265259
1950-05-04,299.566956
1950-05-05,299.767731
1950-05-06,301.127747
1950-05-07,302.657928
1950-05-08,303.849365
1950-05-09,303.093719
1950-05-10,301.456177
1950-05-11,304.153198
1950-05-12,303.350739
1950-05-13,301.737946
1950-05-14,299.727905
1950-05-15,302.146912
1950-05-16,300.654053
1950-05-17,299.231110
1950-05-18,300.573456
1950-05-19,295.791321
1950-05-20,287.913757
1950-05-21,289.042755
1950-05-22,296.934601
1950-05-23,292.822357
1950-05-24,290.013306
1950-05-25,301.606140
1950-05-26,299.560150
1950-05-27,301.453522
1950-05-28,298.709625
1950-05-29,301.533783
1950-05-30,295.694855
1950-05-31,289.279785
1950-06-01,295.227936
1950-06-02,291.397675
1950-06-03,294.474884
1950-06-04,292.971039
1950-06-05,294.967041
1950-06-06,299.245972
1950-06-07,299.577667
1950-06-08,299.700348
1950-06-09,302.065979
1950-06-10,301.213531
1950-06-11,299.569031
1950-06-12,296.650787
1950-06-13,300.428589
1950-06-14,301.253754
1950-06-15,300.925964
1950-06-16,303.431335
1950-06-17,301.388672
1950-06-18,299.686432
1950-06-19,295.626526
1950-06-20,299.054871
1950-06-21,299.720520
1950-06-22,302.963135
1950-06-23,302.473297
1950-06-24,299.834381
1950-06-25,304.155090
1950-06-26,302.118286
1950-06-27,304.626465
1950-06-28,302.574066
1950-06-29,298.461731
1950-06-30,299.137451
1950-07-01,300.759888
1950-07-02,302.604797
1950-07-03,301.518066
1950-07-04,299.843170
1950-07-05,304.867157
1950-07-06,303.761047
1950-07-07,311.007111
1950-07-08,310.404083
1950-07-09,308.127289
1950-07-10,303.896118
1950-07-11,301.763947
1950-07-12,299.907166
1950-07-13,303.948364
1950-07-14,303.899811
1950-07-15,303.770874
1950-07-16,303.853333
1950-07-17,306.030151
1950-07-18,301.538910
1950-07-19,305.066833
1950-07-20,303.429718
1950-07-21,303.856476
1950-07-22,304.340668
1950-07-23,303.331818
1950-07-24,304.322235
1950-07-25,304.096436
1950-07-26,307.085449
1950-07-27,302.845306
1950-07-28,302.397888
1950-07-29,306.401642
1950-07-30,304.700592
1950-07-31,304.704987
1950-08-01,304.509003
1950-08-02,305.771454
1950-08-03,307.675781
1950-08-04,306.537018
1950-08-05,303.137604
1950-08-06,298.382080
1950-08-07,298.499512
1950-08-08,297.925385
1950-08-09,296.578156
1950-08-10,301.330414
1950-08-11,304.442383
1950-08-12,305.746124
1950-08-13,303.190399
1950-08-14,303.159393
1950-08-15,299.180878
1950-08-16,302.694733
1950-08-17,303.032623
1950-08-18,302.559906
1950-08-19,300.790131
1950-08-20,297.847168
1950-08-21,298.794098
1950-08-22,302.455994
1950-08-23,302.608856
1950-08-24,303.277649
1950-08-25,302.678375
1950-08-26,304.835175
1950-08-27,305.059113
1950-08-28,301.771210
1950-08-29,308.124908
1950-08-30,306.931946
1950-08-31,307.042419
1950-09-01,306.233917
1950-09-02,305.391144
1950-09-03,305.354584
1950-09-04,305.602081
1950-09-05,304.851135
1950-09-06,302.913055
1950-09-07,302.432465
1950-09-08,298.104492
1950-09-09,299.487091
1950-09-10,294.544098
1950-09-11,295.528198
1950-09-12,299.403564
1950-09-13,297.309326
