#Variables:
#tasmax_HadGEM2-ES365_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_inmcm4_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_IPSL-CM5A-LR_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_IPSL-CM5A-MR_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_IPSL-CM5B-LR_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_MIROC5_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_MIROC-ESM_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_MIROC-ESM-CHEM_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_MRI-CGCM3_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp45(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 37.3438 Latitude, -79.8438 Longitude (closest value to Latitude:37.3149, Longitude:-79.82) "
#Original Data File(s):
#macav2livneh_tasmax_HadGEM2-ES365_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_inmcm4_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_IPSL-CM5A-LR_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_IPSL-CM5A-MR_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_IPSL-CM5B-LR_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_MIROC-ESM_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_MIROC-ESM-CHEM_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_MRI-CGCM3_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_NorESM1-M_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_HadGEM2-ES365_rcp45(K),tasmax_inmcm4_rcp45(K),tasmax_IPSL-CM5A-LR_rcp45(K),tasmax_IPSL-CM5A-MR_rcp45(K),tasmax_IPSL-CM5B-LR_rcp45(K),tasmax_MIROC5_rcp45(K),tasmax_MIROC-ESM_rcp45(K),tasmax_MIROC-ESM-CHEM_rcp45(K),tasmax_MRI-CGCM3_rcp45(K),tasmax_NorESM1-M_rcp45(K)"
""
yyyy-mm-dd,tasmax_HadGEM2-ES365_rcp45(K),tasmax_inmcm4_rcp45(K),tasmax_IPSL-CM5A-LR_rcp45(K),tasmax_IPSL-CM5A-MR_rcp45(K),tasmax_IPSL-CM5B-LR_rcp45(K),tasmax_MIROC5_rcp45(K),tasmax_MIROC-ESM_rcp45(K),tasmax_MIROC-ESM-CHEM_rcp45(K),tasmax_MRI-CGCM3_rcp45(K),tasmax_NorESM1-M_rcp45(K)
2006-01-01,289.242615,278.966919,277.439636,272.748352,280.345551,279.162415,276.022491,278.918884,279.380066,290.439087
2006-01-02,288.235962,274.544708,277.000275,271.072815,278.077820,279.390106,287.871429,281.313660,285.574768,291.080536
2006-01-03,292.861389,278.553101,279.927399,275.607361,285.230316,275.227203,287.184631,278.082397,280.880829,283.390167
2006-01-04,290.804901,288.561981,277.713348,283.479858,288.639832,277.480042,283.763367,270.641663,272.337982,285.930420
2006-01-05,288.525848,279.604584,278.055115,281.900665,283.863800,285.242126,274.263489,269.115417,275.670349,284.656647
2006-01-06,285.500763,288.523285,278.887054,281.831909,290.951599,283.178528,275.203735,271.619385,265.205811,284.604736
2006-01-07,275.016785,288.579285,278.005615,278.233032,284.485840,278.868195,275.555450,274.660126,262.679230,289.162079
2006-01-08,272.720032,289.272003,280.333435,278.588531,284.454102,282.524475,278.918579,274.006531,278.589630,289.626343
2006-01-09,277.432800,277.771545,277.931488,282.393036,281.434448,283.230011,282.076935,275.761749,274.668823,289.476379
2006-01-10,277.929962,280.344513,280.636353,282.872040,285.754944,277.562592,281.813293,275.991577,270.248260,283.534088
2006-01-11,276.962555,286.676422,279.620209,278.086456,284.638855,271.310608,276.975800,277.153595,267.068787,285.219177
2006-01-12,268.552826,290.610443,274.154388,280.347809,288.023895,269.721100,282.547791,273.507629,271.711731,279.662048
2006-01-13,275.993103,288.383881,278.883911,274.517822,278.686523,274.592987,287.953339,275.114014,270.965027,278.040710
2006-01-14,277.275848,280.391144,278.681458,279.641327,275.814117,274.962189,280.995087,280.506592,276.887512,279.008575
2006-01-15,280.260773,278.839203,276.273102,276.329010,275.436249,273.643066,275.216217,288.413208,279.315704,278.000610
2006-01-16,281.878937,284.798401,279.616272,274.694214,273.096313,272.674194,281.573486,288.193329,277.627106,277.138977
2006-01-17,286.574585,283.039368,278.500458,272.690308,272.234619,274.575989,278.332214,282.530823,284.297852,277.722748
2006-01-18,285.441772,284.099884,278.187012,272.725006,274.796631,276.685974,277.152649,283.700958,289.646667,281.916687
2006-01-19,278.812012,288.994720,276.665131,271.171844,267.269531,276.023865,288.483673,281.153900,287.335327,280.606812
2006-01-20,277.937347,297.009369,283.161560,272.933960,263.659790,274.767120,278.196991,285.683044,287.975464,278.473755
2006-01-21,281.419525,289.089600,285.431702,267.156525,267.653229,275.659851,275.682495,282.522705,288.018158,279.217255
2006-01-22,280.580811,274.484558,275.159607,274.058655,264.407196,273.448578,272.653473,279.523468,288.311523,282.428772
2006-01-23,282.480286,263.308502,277.483124,278.502594,274.096649,275.766022,277.107330,287.556458,285.403992,287.327148
2006-01-24,280.941315,269.011444,275.587128,277.968231,275.549316,270.708740,281.136169,287.404694,285.261261,286.699371
2006-01-25,278.959198,266.385468,288.591766,279.948059,277.114990,269.028564,279.332916,277.972595,282.163147,284.120575
2006-01-26,279.859558,274.581696,292.130524,280.013214,281.038818,271.925354,277.180359,284.208496,292.890991,284.101379
2006-01-27,280.182831,272.289246,294.960449,275.984009,275.943451,270.113770,280.854370,284.222565,298.112823,279.824524
2006-01-28,277.192352,270.714935,296.446747,274.452972,277.670898,274.062164,287.091705,282.504120,285.263000,281.645752
2006-01-29,278.775452,271.814972,294.030701,279.311371,280.164520,274.803925,287.717865,278.499939,296.519501,283.778809
2006-01-30,282.714966,269.591278,297.263947,290.471436,278.169891,273.251343,284.039490,286.017029,296.232605,276.759827
2006-01-31,280.486969,267.785309,290.251373,293.015778,274.357635,273.303223,282.304138,279.823425,287.299469,274.222870
2006-02-01,278.924500,269.197723,283.912659,279.963013,276.682037,274.446991,284.211243,278.276245,291.693176,278.631012
2006-02-02,279.900177,270.799683,286.929108,274.000854,274.707123,276.475708,283.951538,276.135895,287.201508,284.098389
2006-02-03,278.966949,270.782379,280.258850,277.928558,274.058716,278.062744,288.083160,273.126923,282.065643,287.138092
2006-02-04,278.379303,271.338776,278.266296,275.037262,276.501495,274.281464,284.558716,272.583618,276.373596,287.103729
2006-02-05,280.175629,270.617767,282.229736,272.000732,273.911926,274.111542,282.231537,272.831848,279.115417,284.309509
2006-02-06,284.514526,275.517761,278.330841,278.585022,275.209076,275.166321,285.452972,273.687958,275.819122,279.477478
2006-02-07,281.836761,275.428253,280.771667,280.008362,272.222687,278.595886,288.459259,273.381927,275.231293,273.582245
2006-02-08,281.036011,273.757324,284.647247,279.089142,274.109894,273.355225,287.643311,269.209656,276.169342,284.406769
2006-02-09,287.133392,276.435913,286.483429,275.474487,278.972229,275.448883,289.008606,272.266937,270.989258,283.384796
2006-02-10,289.852692,276.337494,287.638367,271.090271,280.437958,272.353424,287.600098,271.567749,269.422394,283.286926
2006-02-11,281.871552,274.955200,287.001740,273.384369,291.460907,271.890808,290.379791,268.674927,272.417694,279.835449
2006-02-12,276.864410,276.346680,283.054871,276.441376,294.601715,274.238190,290.321960,274.183014,273.849792,286.696228
2006-02-13,277.547607,277.891510,279.285461,272.322998,291.483276,275.993652,294.732697,271.866577,276.756378,292.121796
2006-02-14,282.206573,279.808838,275.549500,279.241486,288.593079,278.066620,295.790649,273.782288,276.075195,294.640381
2006-02-15,286.010406,275.598572,276.032715,284.649139,290.939575,279.223145,291.317383,276.490631,275.038788,285.179871
2006-02-16,293.262177,277.529175,278.733459,285.868988,293.727600,280.917847,288.646790,272.501556,279.567810,292.073334
2006-02-17,287.593597,280.347595,274.593109,292.532990,289.776489,278.722351,292.591583,276.902008,285.567688,287.056152
2006-02-18,282.868835,273.816071,274.250580,284.922852,290.116272,273.983215,292.812531,272.663116,284.741760,283.633453
2006-02-19,284.211823,274.016296,281.217499,288.179871,285.848541,275.430511,291.754272,276.590607,282.347656,274.605072
2006-02-20,286.307373,276.220764,280.634125,287.898529,282.185638,277.508728,288.899658,276.506927,279.662872,263.191650
2006-02-21,279.911469,278.289459,277.830902,295.418762,284.956726,276.139771,287.472534,280.298187,279.832397,274.086090
2006-02-22,281.509735,280.279114,277.814484,286.834534,283.314941,277.123779,285.283508,285.672150,278.845947,273.160339
2006-02-23,288.981659,283.293274,278.115265,285.106934,286.021545,278.074097,280.530518,286.106232,279.931061,276.270660
2006-02-24,289.235260,283.489044,278.460052,286.467682,288.078094,277.423981,280.472687,288.777222,277.252747,283.141876
2006-02-25,284.198120,274.376526,280.906158,290.800385,286.834167,277.690826,276.234741,291.438141,281.222076,285.636505
2006-02-26,280.224518,276.901123,284.064362,284.932037,294.953796,277.070435,280.772308,290.669983,288.735016,284.362213
2006-02-27,277.930817,282.827148,285.634735,287.154114,297.205017,275.091461,278.653595,290.255188,284.881439,284.302917
2006-02-28,287.115295,279.962280,287.015320,285.083649,296.838104,275.190277,278.554352,291.370300,276.486145,285.685425
2006-03-01,290.966919,276.357697,288.267792,292.672943,291.319397,280.307007,287.466736,289.227234,279.769226,288.246246
2006-03-02,290.819397,275.620270,291.433807,292.167755,286.307007,278.086548,280.436768,285.496674,284.637268,284.740784
2006-03-03,293.980560,276.672363,288.163727,289.769958,280.617310,281.104889,277.491089,288.296814,285.895325,284.154572
2006-03-04,284.458801,274.266449,288.860779,294.105408,285.969025,281.144745,285.412292,289.383545,292.311798,278.837372
2006-03-05,285.444672,273.891785,281.216858,292.229187,287.823273,272.496246,283.517639,292.808380,300.134796,276.881561
2006-03-06,287.569153,278.299835,285.194885,283.240784,284.683289,275.367706,296.642242,289.294800,290.104492,283.626740
2006-03-07,286.209290,275.982269,295.046387,280.565063,293.157013,276.505737,287.985443,287.576599,285.106689,279.709503
2006-03-08,284.023193,282.682739,290.224426,281.344238,284.335449,281.308319,284.476410,285.742279,284.466858,280.354950
2006-03-09,270.251251,281.076111,278.879303,284.102020,278.147766,279.015717,287.241058,278.662506,277.425140,281.614105
2006-03-10,281.211578,283.005737,285.622009,285.216248,291.211395,273.774628,288.990753,275.757263,288.371948,285.678436
2006-03-11,279.623871,283.839020,289.367981,281.862976,288.646545,276.286346,285.966980,279.589111,298.590607,288.687439
2006-03-12,284.338531,274.598511,278.083313,282.814514,281.034149,280.765869,282.068085,280.062592,302.734009,294.010529
2006-03-13,294.827881,280.087891,273.694885,280.291412,286.178925,286.389099,285.920929,277.607635,296.208038,290.185394
2006-03-14,287.395599,276.777344,284.888763,279.590210,288.672058,280.380341,285.642395,284.096008,281.646393,284.290680
2006-03-15,280.922577,275.235382,291.126892,291.139160,295.810913,279.658691,276.911285,283.755035,277.532532,292.907776
2006-03-16,282.358917,280.010284,296.261627,293.670929,296.595551,283.377655,285.813660,286.925720,281.165771,287.041748
2006-03-17,289.207001,283.368073,295.042694,297.656921,288.521454,284.718719,287.462128,281.470062,295.021545,288.821808
2006-03-18,293.713165,297.845306,288.286407,299.630615,288.033234,282.495880,289.024078,282.327301,292.638885,287.839813
2006-03-19,294.286011,303.637878,280.560059,295.805817,292.494781,285.757446,290.538879,291.014984,292.354858,282.081909
2006-03-20,284.237274,303.614410,276.316284,288.020569,285.649078,290.987366,288.330017,286.416168,291.476837,288.894104
2006-03-21,273.769165,292.156647,278.729126,289.590179,282.289307,287.961212,293.757751,292.816345,300.439056,290.156189
2006-03-22,273.923065,287.156250,285.258545,289.191437,283.738159,290.374115,284.522247,289.907776,300.828247,284.465240
2006-03-23,280.351227,283.732941,282.756104,297.831970,288.299835,291.248505,283.833832,288.792572,300.832428,287.746002
2006-03-24,282.971069,293.140167,280.775848,294.939056,291.810059,290.443359,290.136230,283.747437,303.272095,290.163818
2006-03-25,281.670776,296.894043,287.966064,289.826935,293.480377,290.458710,284.539703,280.920990,302.609741,290.173737
2006-03-26,283.241547,296.849152,291.996582,289.422638,290.048187,293.392822,284.673279,285.882233,300.569366,289.799866
2006-03-27,285.665100,296.446777,286.994019,293.065369,291.670044,287.632538,284.511932,287.324371,297.680786,287.952911
2006-03-28,287.903778,287.252106,285.437469,296.608856,290.572327,284.881439,288.651001,288.006165,299.810303,285.558228
2006-03-29,288.977570,292.233856,283.332642,287.424896,283.782227,290.233154,288.707947,283.080933,300.008636,282.689911
2006-03-30,292.492279,296.469849,282.120117,293.104919,287.957428,292.620361,291.041962,288.039215,298.613495,281.209991
2006-03-31,293.672913,292.776337,294.311401,301.367584,291.397125,290.587372,286.079132,282.318939,297.689087,287.861023
2006-04-01,296.044495,290.917816,291.547821,291.521362,289.516968,294.422852,296.660980,279.786285,300.828094,286.256134
2006-04-02,296.735291,290.142639,292.418854,288.726868,294.483490,293.010712,294.350861,280.895386,298.580994,289.059113
2006-04-03,294.056885,286.247620,289.514496,285.834351,298.659943,289.592987,294.454926,280.829132,290.370575,292.454010
2006-04-04,296.312134,281.677887,289.682770,286.097626,299.981720,297.257141,297.012695,284.727905,289.985474,297.234436
2006-04-05,294.913177,286.365021,287.046753,286.836182,298.949554,296.042877,287.386780,286.682312,302.597748,289.179565
2006-04-06,291.815765,290.223938,291.383392,291.940247,290.117767,296.548309,296.431976,281.058838,304.244263,288.657715
2006-04-07,283.172974,295.791321,287.385132,293.295135,291.841583,297.438324,288.947235,286.409637,301.112793,293.113312
2006-04-08,289.065308,299.945618,285.882019,295.750275,300.124237,295.797180,293.823364,293.469391,289.568817,296.445435
2006-04-09,291.829773,302.321075,284.752960,300.124634,296.137543,295.859772,288.142426,296.560730,296.402161,300.023987
2006-04-10,294.915222,301.524933,295.153625,296.088837,289.842743,301.295959,294.156586,285.495758,287.022247,303.141785
2006-04-11,293.990387,301.603912,293.566498,292.201996,289.287903,302.707520,294.691925,295.174835,279.272491,293.441864
2006-04-12,289.674347,299.003540,304.577850,287.523773,293.494812,301.416229,295.313751,295.205139,283.998077,300.671112
2006-04-13,284.468231,293.835510,296.910156,289.437286,287.068054,299.968750,288.481628,293.866516,286.386688,298.151825
2006-04-14,290.018524,286.397705,294.218994,291.744049,285.844818,296.959961,286.653320,291.516083,285.559692,292.608826
2006-04-15,291.952423,286.277313,294.921143,284.588623,287.551910,297.440430,292.970215,288.707886,281.462372,295.544189
2006-04-16,287.676239,288.676758,298.627106,286.467621,284.216949,300.087982,297.576660,292.234650,282.137177,302.653351
2006-04-17,282.445831,283.555603,301.731079,289.556000,288.590576,302.283600,293.481232,289.221497,292.423950,297.287476
2006-04-18,281.865601,292.484894,305.780426,288.751160,288.164185,289.943268,294.314880,297.510742,293.363892,289.521606
2006-04-19,284.966858,293.217865,307.200775,291.515930,293.358002,285.872467,292.202179,290.119720,299.856934,299.676117
2006-04-20,284.950592,288.966278,305.458466,294.822906,301.598785,285.300385,294.018158,293.790192,296.440796,294.920746
2006-04-21,284.421143,291.894745,296.242310,296.822845,300.040009,293.903534,298.866180,296.850403,288.179077,288.695007
2006-04-22,289.471771,290.667145,289.336853,294.119720,303.565308,299.055359,290.979706,287.826080,290.178192,278.225220
2006-04-23,302.420624,292.046448,298.715088,294.697205,297.212830,300.046112,293.633423,287.682617,290.640930,280.875916
2006-04-24,306.748077,289.498962,301.863373,289.091278,290.415527,297.809692,294.327209,299.201904,291.107513,292.628082
2006-04-25,302.139587,294.291687,303.444763,291.304932,294.377838,299.319763,299.542450,292.529266,284.040039,297.110413
2006-04-26,298.343048,291.738037,301.095459,294.875793,299.633728,298.010132,292.100098,289.752594,296.214111,300.018433
2006-04-27,294.682220,292.112061,297.650055,291.861389,295.884644,303.373535,283.817810,298.556946,297.315948,301.269165
2006-04-28,295.246368,292.375397,294.894745,290.034576,292.295624,300.416901,290.049316,299.677979,300.622528,294.686157
2006-04-29,299.174988,292.998962,295.463654,296.078461,298.513214,295.697266,294.428345,301.212799,298.676605,291.955536
2006-04-30,297.054504,293.980865,299.082062,297.308441,297.813477,294.139648,304.498810,301.195007,296.006378,298.088959
2006-05-01,287.373169,297.522400,302.887787,295.735382,296.224274,294.574127,297.941742,290.145325,298.471405,293.000824
2006-05-02,287.055573,299.405121,301.209259,302.001862,297.569824,301.996857,299.860077,286.367767,298.469147,295.788666
2006-05-03,282.521088,301.027985,296.207672,297.476105,292.176025,301.577118,292.466736,298.651184,296.787262,291.043945
2006-05-04,284.779755,296.458893,296.142853,298.041046,296.364319,296.172546,297.408112,294.552368,292.848785,297.092377
2006-05-05,292.546387,293.640839,298.603485,299.316010,298.139862,299.268341,297.072510,299.863586,292.840363,298.582214
2006-05-06,298.989777,294.510468,298.103088,302.067627,296.057678,297.273407,301.362030,293.241974,296.462585,298.701416
2006-05-07,304.339111,294.354095,305.092163,303.185944,295.233032,297.108765,296.774231,299.204712,299.573669,296.496765
2006-05-08,305.573547,296.074860,303.297821,302.954254,301.182770,299.517334,298.032288,297.281464,300.592896,303.727356
2006-05-09,302.811340,290.886292,302.493408,301.009033,299.273834,299.930206,295.235931,293.157898,297.427948,297.953735
2006-05-10,303.947601,291.301422,303.981049,305.996124,299.134308,296.090271,294.856201,288.847656,301.890717,297.528168
2006-05-11,303.206573,294.099731,302.540924,303.155182,305.688721,298.166840,299.628998,295.251587,301.304199,300.713104
2006-05-12,301.187744,293.825409,300.547791,301.816437,302.658417,299.401886,291.571533,295.079834,300.627350,301.279266
2006-05-13,302.837921,302.075165,303.160919,302.416199,294.842377,297.962646,296.008881,299.454834,301.331879,300.148682
2006-05-14,304.459534,297.487640,304.343781,293.656891,293.247894,296.678955,295.902710,302.990967,298.460449,294.002075
2006-05-15,300.590912,305.735046,301.837250,292.862244,294.546112,297.480896,295.260590,303.871796,295.359558,298.654449
2006-05-16,299.670532,291.907959,296.778015,296.654968,292.647552,293.014618,285.488739,299.563385,290.689117,298.766846
2006-05-17,300.928467,292.619598,301.896576,297.607697,287.401154,298.719238,286.691986,299.296295,295.123505,297.921997
2006-05-18,303.607697,290.673065,302.218079,293.242157,291.140808,302.256836,296.686523,302.013092,301.219421,299.398773
2006-05-19,303.892212,293.813904,300.888916,292.459656,295.054077,304.757355,300.482452,300.015625,299.949341,299.781921
2006-05-20,304.528015,289.749725,306.183655,302.005157,289.143951,304.802002,301.978363,301.706757,297.481293,300.385010
2006-05-21,303.569000,292.252258,304.902771,301.653046,296.908508,304.134644,300.674561,300.363068,294.202759,298.155304
2006-05-22,302.981659,285.018555,302.008881,296.685272,291.258057,304.459808,301.712372,303.098511,301.738220,301.431061
2006-05-23,307.106812,296.017242,303.602539,295.437805,296.385712,304.407867,299.031036,300.324432,300.796600,304.526825
2006-05-24,302.256409,298.026154,302.527405,299.094543,297.085114,303.051025,302.650055,302.471161,299.777252,298.698608
2006-05-25,296.423157,300.624847,300.640045,293.249878,294.208832,301.329193,302.045868,303.704895,303.445435,295.307617
2006-05-26,292.091339,301.370575,299.203186,299.799438,299.785645,300.474487,296.391174,301.307587,301.463135,299.207489
2006-05-27,293.909882,300.340637,304.244629,300.534790,299.571381,298.071686,298.295013,301.139038,301.192932,299.976654
2006-05-28,298.700531,300.897675,298.371765,298.961670,297.684113,297.531952,298.008392,301.576233,300.095612,298.889679
2006-05-29,298.206879,304.954376,302.957458,297.166718,297.246399,292.935394,297.590088,298.593903,300.235199,298.899109
2006-05-30,297.622406,299.696838,304.739166,296.860199,298.502594,298.663422,304.059357,303.700531,301.115936,297.490204
2006-05-31,299.517456,298.936768,305.565704,294.217773,296.038727,299.422729,301.297913,299.880829,298.851990,299.385864
2006-06-01,302.155487,299.714844,304.606293,295.860046,298.585754,301.297546,300.489227,301.394653,303.658417,301.575104
2006-06-02,303.962036,299.168945,304.077820,294.569885,297.216827,298.497009,303.658264,302.387421,304.159668,302.403534
2006-06-03,305.732117,298.585754,303.767914,301.323059,302.970490,300.212402,303.910278,301.970917,303.671631,299.895386
2006-06-04,307.811066,296.102600,307.831085,302.747009,305.529999,303.649597,300.966827,298.720856,304.588043,291.881500
2006-06-05,304.457642,294.492188,306.845490,299.046906,299.247009,304.296783,300.417755,301.639343,302.670837,299.547058
2006-06-06,301.385712,294.148346,306.841370,300.874207,302.121765,303.277496,300.356293,301.306030,302.212982,295.596375
2006-06-07,303.070374,293.099121,306.443939,302.937225,300.958588,302.847748,301.862488,302.517120,301.029816,301.834351
2006-06-08,303.993256,299.718384,304.903564,301.677856,298.961334,305.194244,304.845764,304.563599,300.724487,304.396240
2006-06-09,303.672302,302.112885,306.954468,300.485077,301.839203,307.571960,302.976166,300.360840,302.162720,301.648560
2006-06-10,304.926361,299.388000,302.992554,303.633850,302.016785,300.358002,299.002777,305.287628,298.427460,300.542694
2006-06-11,304.837921,300.461517,303.877747,301.605255,303.784729,295.999054,300.001984,303.347992,298.816162,302.495026
2006-06-12,307.971436,301.651825,304.892334,299.337524,305.199738,299.794037,296.527832,305.469696,301.031128,303.024658
2006-06-13,306.372406,302.301819,305.029816,303.216309,305.871887,301.528839,300.168610,305.859222,303.266144,306.961212
2006-06-14,306.636078,306.380310,307.014343,302.574860,305.855927,303.327972,301.729736,305.388733,305.326324,308.931366
2006-06-15,305.135468,305.005493,304.152649,304.941772,300.850708,300.392761,301.717957,306.360352,305.686249,299.785828
2006-06-16,303.502014,302.455505,305.899963,303.007599,303.112366,302.538086,301.543335,307.668976,301.018921,289.791412
