#Variables:
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1-m_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_BNU-ESM_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_CanESM2_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_CCSM4_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_CNRM-CM5_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_CSIRO-Mk3-6-0_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2M_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2G_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_HadGEM2-CC365_rcp85(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 37.3438 Latitude, -79.8438 Longitude (closest value to Latitude:37.3149, Longitude:-79.82) "
#Original Data File(s):
#macav2livneh_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_bcc-csm1-1-m_r1i1p1_rcp85_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_BNU-ESM_r1i1p1_rcp85_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_CanESM2_r1i1p1_rcp85_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_CSIRO-Mk3-6-0_r1i1p1_rcp85_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1-m_rcp85(K),tasmax_BNU-ESM_rcp85(K),tasmax_CanESM2_rcp85(K),tasmax_CCSM4_rcp85(K),tasmax_CNRM-CM5_rcp85(K),tasmax_CSIRO-Mk3-6-0_rcp85(K),tasmax_GFDL-ESM2M_rcp85(K),tasmax_GFDL-ESM2G_rcp85(K),tasmax_HadGEM2-CC365_rcp85(K)"
""
yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1-m_rcp85(K),tasmax_BNU-ESM_rcp85(K),tasmax_CanESM2_rcp85(K),tasmax_CCSM4_rcp85(K),tasmax_CNRM-CM5_rcp85(K),tasmax_CSIRO-Mk3-6-0_rcp85(K),tasmax_GFDL-ESM2M_rcp85(K),tasmax_GFDL-ESM2G_rcp85(K),tasmax_HadGEM2-CC365_rcp85(K)
2006-01-01,286.532562,284.622375,280.577942,282.923248,286.642090,282.429291,287.957428,276.630035,285.617584,276.075287
2006-01-02,285.451202,281.683594,284.360748,282.985229,292.672729,277.446106,283.692719,275.039368,288.877502,279.765778
2006-01-03,280.495941,281.140503,285.717010,286.850861,294.921967,281.975128,282.553680,277.505585,289.255676,282.194763
2006-01-04,280.235504,281.447815,283.221191,290.064392,279.565826,282.846222,289.663544,279.195801,288.460663,279.733734
2006-01-05,277.254181,264.513000,283.676208,283.923798,286.916565,280.593597,283.972626,275.022522,276.547791,284.334839
2006-01-06,276.398193,277.370422,282.754059,279.498230,290.851532,286.713806,283.704865,282.072723,274.052002,282.545013
2006-01-07,279.717804,278.120850,280.420227,275.839233,287.166595,285.968628,278.878723,283.601929,283.261475,291.101746
2006-01-08,276.628876,272.547424,277.798065,277.206787,283.950134,284.183075,272.598999,283.399963,292.125305,287.966980
2006-01-09,279.446960,275.485443,278.771423,281.153625,278.893250,277.987885,277.936554,279.180115,291.091766,279.745758
2006-01-10,282.380768,279.498260,283.426880,278.235229,284.959290,276.728882,279.712280,279.139954,281.962036,280.632446
2006-01-11,287.369843,283.489105,278.049286,280.580261,282.589722,280.215729,276.855743,280.065765,282.585175,282.424103
2006-01-12,288.868286,282.853729,281.714355,282.763397,283.747925,280.276886,279.575714,279.832947,286.156952,279.540680
2006-01-13,288.013580,289.039856,273.866577,283.583588,284.487366,278.978394,279.157928,280.501099,287.776642,283.770813
2006-01-14,283.361389,293.052734,276.468567,289.710724,283.565521,280.676270,284.368408,278.588074,295.497314,282.191711
2006-01-15,273.703766,287.424683,279.869995,289.306580,282.231384,279.342926,290.849823,280.048798,291.939270,276.777008
2006-01-16,273.501587,282.119141,285.337219,282.622437,274.415039,281.476135,288.436554,277.878113,292.151855,275.712311
2006-01-17,287.678497,273.647064,278.363007,290.038391,280.234680,278.766693,274.762238,284.402618,281.637390,277.029846
2006-01-18,283.949005,280.112183,276.246704,289.642151,277.584259,280.406036,274.280487,281.565857,276.813110,274.295044
2006-01-19,278.982269,282.838043,275.540985,279.144653,283.869202,280.566986,274.899017,280.374512,275.639954,268.898834
2006-01-20,276.831146,284.231903,275.655304,276.417419,281.474823,278.806061,276.937042,282.993378,279.233643,271.982330
2006-01-21,270.643951,285.291748,274.689514,275.549072,285.546143,273.391174,269.200562,281.333893,285.726685,277.151917
2006-01-22,276.638092,287.096619,277.748108,275.204346,279.976654,268.464600,273.005951,282.226013,289.598175,277.009583
2006-01-23,280.838501,291.437683,279.651306,271.348175,292.761108,271.373230,278.342804,285.083984,287.075043,282.509369
2006-01-24,275.831848,282.791962,275.316895,273.650482,288.241669,269.574615,283.288452,274.367523,286.993439,280.761017
2006-01-25,280.644501,281.397766,278.151093,278.007111,286.899353,275.007294,285.672241,274.812195,288.467682,280.899048
2006-01-26,269.330414,285.755859,275.533936,280.151031,280.693146,274.446777,285.180420,273.211823,283.833557,277.477386
2006-01-27,263.443665,283.897308,280.959991,278.407684,275.209503,274.796387,285.871216,268.495880,283.612122,276.130676
2006-01-28,277.705505,274.644440,282.209778,277.827271,276.656311,280.343353,283.593262,267.140320,280.260986,274.267365
2006-01-29,285.036469,277.223145,278.089386,275.488281,280.989655,275.182281,284.901001,271.886780,283.419250,273.963623
2006-01-30,287.495605,277.177307,281.084320,276.221893,279.032166,281.515259,281.422150,273.264954,281.176514,278.175385
2006-01-31,274.988159,277.340393,283.677277,275.114441,276.548676,283.183411,280.645050,275.651794,279.997742,278.534851
2006-02-01,277.256470,273.095978,280.260010,281.342194,281.823944,284.795959,278.890167,277.913605,279.747223,278.100647
2006-02-02,276.527649,274.190552,282.550690,281.383362,273.769440,289.305359,285.556000,282.366394,281.226105,277.318970
2006-02-03,273.073914,280.277222,283.692200,279.243317,272.392273,288.671844,287.108429,280.338837,279.359924,277.343414
2006-02-04,273.524261,279.733673,284.055511,281.493652,275.802521,290.229706,283.352631,291.032867,283.484985,279.743683
2006-02-05,277.467316,281.986267,284.399841,279.638977,272.639862,282.699982,281.664795,290.532684,284.945465,276.518555
2006-02-06,278.444519,289.487823,281.598724,282.164703,268.027863,288.118317,280.526703,280.223083,286.694244,278.180054
2006-02-07,283.145020,282.757721,285.964905,277.614624,274.603790,272.968231,278.710999,280.057556,284.976349,271.808929
2006-02-08,278.059479,275.322449,283.694305,276.916138,280.766785,273.879517,281.351532,275.129608,282.460083,273.444489
2006-02-09,271.943115,272.446564,285.179138,278.394073,286.042206,273.523682,287.148010,273.833618,286.682495,274.709839
2006-02-10,261.744263,278.438934,291.665771,285.102997,288.066620,275.048767,285.574097,287.382812,293.644562,275.982483
2006-02-11,275.136719,275.326660,289.361633,284.619446,283.162415,277.390564,287.389801,291.136719,289.513702,278.043976
2006-02-12,280.567841,273.226746,291.652344,283.490845,276.360107,276.220856,286.075867,291.733429,281.412292,280.165375
2006-02-13,279.252258,275.924713,289.241852,279.637909,275.655396,277.141632,281.902649,293.761993,280.366241,277.138855
2006-02-14,280.038239,274.326294,284.586700,281.334869,276.182434,277.872314,282.219330,290.634094,282.294373,279.293091
2006-02-15,279.417389,279.042206,279.608490,287.856079,277.933624,281.446899,280.479950,288.915009,278.615570,280.962585
2006-02-16,284.147400,278.638000,281.894562,287.426941,285.279724,282.839630,283.316498,291.500549,280.706940,288.538116
2006-02-17,279.469543,285.035919,283.712677,284.853790,280.820343,285.074738,281.358032,289.098602,278.371674,294.798279
2006-02-18,282.192444,290.201111,283.837860,279.626617,278.306122,283.580505,290.352936,291.063049,284.782654,294.837006
2006-02-19,281.817322,282.636108,283.574707,279.418304,286.103363,281.562683,293.417725,288.746490,280.963654,292.882355
2006-02-20,279.907013,279.164398,285.944580,277.230011,281.296387,284.770844,289.123901,289.072388,284.220764,290.610168
2006-02-21,281.529449,287.229523,288.883942,280.557434,273.790436,285.642944,284.154907,284.349792,284.088654,290.118713
2006-02-22,280.753296,286.760193,290.752350,284.551361,271.447205,284.543488,280.663849,279.681854,283.075745,290.670380
2006-02-23,279.754974,281.694794,281.180725,284.293915,277.488373,284.587677,283.608978,280.538727,276.064148,290.981354
2006-02-24,281.515808,284.941986,278.726440,282.140717,283.032440,286.164368,277.787415,282.272400,274.654114,283.720459
2006-02-25,282.224518,288.457245,282.021881,281.711884,286.281982,284.979095,277.897278,291.482208,276.455414,279.557800
2006-02-26,281.521393,290.418121,286.268951,284.217163,284.789307,278.163147,284.649078,287.947449,276.058624,283.039368
2006-02-27,285.279694,293.360291,288.057617,285.927856,284.296234,274.848419,280.339539,286.210968,274.862885,282.514954
2006-02-28,294.575439,284.692352,287.910492,285.903351,280.872742,280.260132,284.838531,286.625977,278.265991,281.479889
2006-03-01,284.716492,286.044037,293.450409,275.772919,285.531219,285.872894,289.540680,295.691895,276.152679,287.286163
2006-03-02,279.882355,292.700500,293.633698,270.552246,281.396240,284.574463,285.779663,294.127930,278.394043,275.893707
2006-03-03,284.113098,285.494843,297.790710,281.683868,285.445862,281.144257,285.420105,282.185455,275.202576,275.703339
2006-03-04,288.672974,291.530457,298.052765,284.858978,289.614441,293.918152,282.283875,285.439758,278.239532,280.480103
2006-03-05,286.189697,292.906036,300.071594,283.931732,280.925568,286.111572,279.876038,294.540710,286.194489,279.466766
2006-03-06,292.814514,297.335663,291.188904,279.581604,286.941406,281.906342,287.124603,289.584106,284.412262,283.342865
2006-03-07,295.281555,286.624756,285.142029,275.109772,291.833344,289.029663,293.852234,283.147644,282.516571,280.622742
2006-03-08,296.680267,283.330139,284.713715,282.511108,281.029663,284.690491,297.859772,286.431976,284.396149,276.018738
2006-03-09,298.839813,287.789948,292.047760,282.568939,279.447845,287.862122,288.418854,285.071503,290.684723,274.614563
2006-03-10,301.748108,285.217010,287.089539,281.952179,284.699738,284.635162,282.697205,291.494293,292.841492,280.582123
2006-03-11,297.795258,281.195709,287.057343,278.070435,290.047577,279.198029,282.605835,286.903320,285.449585,287.235992
2006-03-12,288.480927,284.480713,288.735657,285.025421,294.633026,294.618744,282.123199,282.887207,282.391052,291.527771
2006-03-13,286.700195,284.154358,286.146759,289.907104,291.562988,290.070862,289.669678,284.223328,279.664917,292.794189
2006-03-14,291.167236,284.370270,289.874634,296.366913,287.233795,292.115448,293.116577,291.284149,272.623566,287.120117
2006-03-15,291.289459,287.389465,278.054871,296.965179,289.155365,285.589844,300.071442,294.280060,288.230774,285.875671
2006-03-16,294.146698,287.819397,282.216858,293.456482,287.633972,279.383087,294.231659,292.374786,289.852356,291.610352
2006-03-17,295.666046,290.177704,282.788849,286.508972,280.902100,284.638611,287.501190,287.390778,287.516968,288.406128
2006-03-18,292.727722,288.211853,285.714142,286.438599,281.153992,285.972900,276.678223,292.213745,298.335114,287.023285
2006-03-19,288.051453,287.672302,292.307281,283.711853,279.087830,286.053162,277.364166,287.617157,296.529175,285.904480
2006-03-20,279.486725,284.801208,288.583679,284.474335,288.457672,285.956726,284.615356,291.807709,281.417389,288.382080
2006-03-21,285.866760,290.226807,286.425262,290.924988,291.970245,281.211426,288.584259,293.113647,280.025421,291.858826
2006-03-22,291.251495,294.471436,289.079010,299.391754,293.004608,282.897675,290.716278,294.352081,284.811584,288.335480
2006-03-23,292.194489,291.490143,286.049011,294.936188,294.792023,284.677856,295.538605,296.512665,286.200623,281.875641
2006-03-24,295.501404,280.728821,293.836029,287.204041,288.002991,290.232819,291.817291,294.345490,298.262085,285.838379
2006-03-25,296.975586,280.813110,295.789886,294.958344,289.594849,291.386078,296.764221,290.336853,296.963531,290.361145
2006-03-26,298.045746,278.802002,294.407959,284.160461,292.611023,289.553009,298.667206,288.546906,289.280609,297.245453
2006-03-27,298.502258,289.616638,298.700653,287.614746,287.685364,292.452820,292.091095,292.395477,283.664490,290.924133
2006-03-28,300.161896,296.278381,295.857941,288.472504,287.872314,287.696106,291.321747,288.073608,285.078094,287.750336
2006-03-29,298.428070,295.160614,282.977936,287.028137,279.771484,289.331696,290.609436,286.403961,294.645966,292.345215
2006-03-30,295.152557,291.418488,290.531708,284.470215,287.270905,292.949402,294.532135,282.995026,292.900818,287.513153
2006-03-31,292.000732,292.546234,291.913483,289.595947,297.551758,297.813873,300.170746,283.680298,297.074463,288.001160
2006-04-01,295.899811,288.482697,296.059204,292.707672,290.820496,301.376678,290.870178,289.539001,294.796783,286.911621
2006-04-02,295.486115,281.850861,296.356689,291.673431,285.426117,297.038177,291.729919,290.484985,299.748718,287.652100
2006-04-03,289.997223,289.499268,290.761078,290.831512,288.064514,298.421295,294.209229,287.988800,299.350159,294.779968
2006-04-04,287.615143,295.138733,285.139740,288.190765,282.487885,298.419006,294.347534,282.347168,302.478699,292.936646
2006-04-05,287.948853,299.294952,289.395752,288.264069,284.539764,298.185974,294.149841,289.628113,304.904846,297.721863
2006-04-06,293.804016,295.519073,293.051086,291.552948,289.221680,293.075226,290.364471,291.271240,304.470856,295.503479
2006-04-07,292.391907,301.524689,291.556030,289.741302,290.866272,288.551788,297.179108,287.701965,304.778168,296.101532
2006-04-08,294.988556,301.086670,293.916992,285.844330,289.716187,289.453430,297.434326,284.225281,306.167023,289.549591
2006-04-09,285.282013,298.666168,288.863678,291.122498,296.640686,294.020874,288.072235,285.188965,305.891907,284.443695
2006-04-10,285.136597,300.770416,279.949219,290.606415,291.955353,291.686066,288.553497,291.204895,304.611694,290.840546
2006-04-11,286.326904,296.625580,287.731384,290.097046,298.327454,286.981689,288.920624,289.092468,304.181305,295.561981
2006-04-12,283.825317,300.243927,283.924011,285.754669,295.501678,290.839294,288.676941,290.176361,304.926727,297.923065
2006-04-13,291.367462,296.351196,291.594543,289.318665,286.984009,287.424774,298.252808,285.270142,300.782318,299.513306
2006-04-14,286.696350,298.076599,292.481842,290.143585,289.840759,288.681335,299.518585,288.242523,302.696747,296.799683
2006-04-15,287.420074,302.381958,291.225616,289.068817,289.669006,292.131836,296.831665,296.157501,301.921814,289.823090
2006-04-16,290.458313,299.049591,295.910370,292.445648,284.772949,286.570618,299.232819,295.023163,304.953674,285.402863
2006-04-17,294.770172,289.567688,296.979370,291.689545,286.621338,290.480377,300.512146,293.475189,302.457764,282.486572
2006-04-18,292.984100,285.775116,292.404022,285.889099,290.461334,285.422028,295.228851,293.148468,304.491791,280.662140
2006-04-19,288.725281,293.162811,294.476868,293.278351,287.131500,286.503723,293.079620,292.429657,299.699341,279.357147
2006-04-20,288.668732,293.197296,289.797272,289.070435,282.217010,288.963989,301.401031,287.561401,286.367310,288.554535
2006-04-21,288.855988,292.655457,288.368530,290.310059,285.026093,293.562073,303.165466,288.266205,290.770142,293.498474
2006-04-22,294.359161,293.153229,282.972748,294.008514,293.661316,285.448120,304.114197,284.162933,298.064362,297.344421
2006-04-23,294.086365,295.093506,289.381348,296.216705,295.393890,294.340546,300.667480,283.738983,302.042236,300.351440
2006-04-24,290.595612,295.345001,298.062927,288.403351,294.118591,297.718750,295.045837,286.333923,304.646973,299.781128
2006-04-25,295.241241,297.246948,298.279205,286.843658,290.189972,298.903046,294.706177,293.357361,305.551270,299.033203
2006-04-26,294.581085,286.944000,301.091278,291.407288,297.133057,297.020569,299.862732,292.969818,303.996063,298.491791
2006-04-27,296.838593,284.924286,296.451447,287.282806,300.379974,291.844116,303.087555,293.253235,306.224579,302.003052
2006-04-28,300.161407,293.475769,291.876465,289.266266,296.901367,288.889832,305.040039,298.882507,306.301605,301.938385
2006-04-29,294.723938,296.314667,296.431946,294.359009,297.617462,292.519196,294.349304,301.828186,305.587341,303.255981
2006-04-30,289.704224,300.643768,300.300629,296.215363,296.531342,296.055908,288.551575,302.641083,302.698669,303.502960
2006-05-01,287.463257,295.503601,298.314941,299.280670,299.212708,296.746918,289.590424,303.257599,299.154663,301.581451
2006-05-02,297.450867,295.696014,294.453979,293.047089,300.540375,296.174286,294.254059,300.352539,295.806580,296.787262
2006-05-03,293.709656,299.043182,296.160645,291.515564,300.557617,293.887238,293.674500,298.502655,292.159943,296.618927
