"DateTime","Depth","temp"
2015-07-30,0.1,27.7
2015-07-30,1,27.7
2015-07-30,2,27.7
2015-07-30,3,27.6
2015-07-30,4,27.6
2015-07-30,5,20.8
2015-07-30,6,17
2015-07-30,7,13.3
2015-07-30,8,11.2
2015-07-30,9,10.1
2015-07-30,10,8.8
2015-07-30,11,8.3
2015-08-13,0.1,25.7
2015-08-13,1,25.6
2015-08-13,2,25.5
2015-08-13,3,25.4
2015-08-13,4,25
2015-08-13,5,22.6
2015-08-13,6,18
2015-08-13,7,13.6
2015-08-13,8,11.4
2015-08-13,9,9.5
2015-08-13,10,8.6
2015-08-13,11,8.3
2016-04-05,0.1,11.45
2016-04-05,1,11.5
2016-04-05,2,11.4
2016-04-05,3,11.4
2016-04-05,4,11.3
2016-04-05,5,10.9
2016-04-05,7,8.3
2016-04-05,8,7.4
2016-04-05,9,6.6
2016-04-05,10,6.2
2016-04-05,11,6.1
2017-03-17,0.1,5.9
2017-03-17,3,5.6
2017-03-17,6,5.5
2017-03-17,9,5.4
2017-03-17,11,5.4
2017-04-10,0.1,12.3
2017-04-10,3,11.3
2017-04-10,6,10.7
2017-04-10,9,8.5
2017-04-10,11,7.6
2017-05-05,0.1,18.2
2017-05-05,1,18
2017-05-05,2,17.5
2017-05-05,3,17
2017-05-05,4,15
2017-05-05,5,14.1
2017-05-05,6,12.4
2017-05-05,7,11.2
2017-05-05,8,10.2
2017-05-05,9,9
2017-05-05,10,8.7
2017-05-05,11,8.4
2017-05-10,0.1,16
2017-05-10,1,15.7
2017-05-10,2,15.6
2017-05-10,3,15.6
2017-05-10,4,15.4
2017-05-10,5,14.1
2017-05-10,6,12.4
2017-05-10,7,11.1
2017-05-10,8,10
2017-05-10,9,9.3
2017-05-10,10,8.8
2017-05-10,11,8.5
2017-05-18,0.1,22.2
2017-05-18,1,21.7
2017-05-18,2,21.1
2017-05-18,3,18
2017-05-18,4,16.2
2017-05-18,5,14.8
2017-05-18,6,12.9
2017-05-18,7,10.9
2017-05-18,8,9.8
2017-05-18,9,9.1
2017-05-18,10,8.9
2017-05-18,11,8.8
2017-05-25,0.1,19.4
2017-05-25,1,19.3
2017-05-25,2,19.1
2017-05-25,3,19.1
2017-05-25,4,18.5
2017-05-25,5,15.1
2017-05-25,6,12.6
2017-05-25,7,11.2
2017-05-25,8,10.5
2017-05-25,9,9.7
2017-05-25,10,9.1
2017-05-25,11,8.8
2017-05-30,0.1,22.3
2017-05-30,1,22.2
2017-05-30,2,22.1
2017-05-30,3,19
2017-05-30,4,17.4
2017-05-30,5,15.3
2017-05-30,6,13.5
2017-05-30,7,11.5
2017-05-30,8,10.2
2017-05-30,9,9.6
2017-05-30,10,9.3
2017-05-30,11,9
2017-06-01,0.1,22.8
2017-06-01,1,22.4
2017-06-01,2,22.1
2017-06-01,3,19.5
2017-06-01,4,17.6
2017-06-01,5,14.9
2017-06-01,6,13.2
2017-06-01,7,11.5
2017-06-01,8,10.6
2017-06-01,9,9.6
2017-06-01,10,9.2
2017-06-01,11,9
2017-06-08,0.1,21
2017-06-08,1,21.1
2017-06-08,2,21
2017-06-08,3,20.8
2017-06-08,4,17.3
2017-06-08,5,15.4
2017-06-08,6,12.8
2017-06-08,7,11.1
2017-06-08,8,10.2
2017-06-08,9,9.7
2017-06-08,10,9.2
2017-06-08,11,8.9
2017-06-22,0.1,25.8
2017-06-22,1,25.7
2017-06-22,2,25.6
2017-06-22,3,22.2
2017-06-22,4,18.7
2017-06-22,5,16.2
2017-06-22,6,13.3
2017-06-22,7,11.2
2017-06-22,8,10.3
2017-06-22,9,9.6
2017-06-22,10,9.2
2017-06-22,11,8.9
2017-06-29,0.1,25.1
2017-06-29,1,24.3
2017-06-29,2,23.7
2017-06-29,3,22.4
2017-06-29,4,19.3
2017-06-29,5,16.2
2017-06-29,6,12.6
2017-06-29,7,11.3
2017-06-29,8,10.4
2017-06-29,9,9.8
2017-06-29,10,9.4
2017-06-29,11,9.2
2017-07-07,0.1,26.1
2017-07-07,1,26
2017-07-07,2,25.9
2017-07-07,3,25.8
2017-07-07,4,17.4
2017-07-07,5,14.1
2017-07-07,6,12.3
2017-07-07,7,10.9
2017-07-07,8,9.9
2017-07-07,9,9.4
2017-07-07,10,9.1
2017-07-13,0.1,31.9
2017-07-13,1,29
2017-07-13,2,27.4
2017-07-13,4,17.4
2017-07-13,5,13.6
2017-07-13,6,12
2017-07-13,7,10.7
2017-07-13,8,10
2017-07-13,9,9.5
2017-07-13,10,9.2
2017-07-20,0.1,29.5
2017-07-20,1,29
2017-07-20,2,28.6
2017-07-20,4,15
2017-07-20,5,12.6
2017-07-20,6,11.3
2017-07-20,7,10.4
2017-07-20,8,9.8
2017-07-20,9,9.5
2017-07-27,0.1,27
2017-07-27,1,26.6
2017-07-27,2,26.4
2017-07-27,4,16.7
2017-07-27,5,12.7
2017-07-27,6,11.7
