"DateTime","Depth","OXY_oxy","OXY_sat"
2015-07-30,0.1,164.0625,70.5
2015-07-30,1,189.375,82.5
2015-07-30,2,210.3125,91.2
2015-07-30,3,212.1875,92.3
2015-07-30,4,216.875,94.1
2015-07-30,5,28.125,12.1
2015-07-30,6,33.4375,11.8
2015-07-30,7,52.8125,17.2
2015-07-30,8,36.5625,11.4
2015-07-30,9,39.375,11.9
2015-07-30,10,42.5,12.5
2015-07-30,11,44.0625,12.6
2015-08-13,0.1,185,77.2
2015-08-13,1,198.125,82.7
2015-08-13,2,196.875,84.7
2015-08-13,3,196.5625,83.2
2015-08-13,4,165.3125,70.3
2015-08-13,5,30.3125,13.8
2015-08-13,6,22.5,8.1
2015-08-13,7,32.5,11
2015-08-13,8,20.9375,6.6
2015-08-13,9,21.25,6.4
2015-08-13,10,22.8125,6.6
2015-08-13,11,22.8125,6.7
2016-04-05,0.1,301.25,93.7
2016-04-05,1,300.9375,93.6
2016-04-05,2,301.5625,93.4
2016-04-05,3,300.3125,93.2
2016-04-05,4,298.4375,92.8
2016-04-05,5,295.46875,90.2
2016-04-05,7,270.46875,76.8
2016-04-05,8,258.75,72.1
2016-04-05,9,247.65625,67
2016-04-05,10,234.53125,64
2016-04-05,11,230,63
2017-03-17,0.1,361.5625,98.1
2017-03-17,3,364.375,98
2017-03-17,6,362.8125,97.3
2017-03-17,9,362.1875,97.2
2017-03-17,11,363.75,96.7
2017-04-10,0.1,331.25,105
2017-04-10,3,329.375,102
2017-04-10,6,311.875,94.9
2017-04-10,9,256.875,74.2
2017-04-10,11,215.9375,61.3
2017-05-05,0.1,282.8125,106
2017-05-05,1,285,104.1
2017-05-05,2,288.4375,104.4
2017-05-05,3,284.6875,102.9
2017-05-05,4,305,105.8
2017-05-05,5,293.75,100.5
2017-05-05,6,299.6875,97.7
2017-05-05,7,231.875,74
2017-05-05,8,150,45
2017-05-05,9,47.1875,14.2
2017-05-05,10,18.75,5.1
2017-05-05,11,15,4.3
2017-05-10,0.1,285.3125,98.3
2017-05-10,1,284.6875,97.4
2017-05-10,2,284.0625,97.6
2017-05-10,3,282.5,96.5
2017-05-10,4,272.5,92.8
2017-05-10,5,247.5,81.6
2017-05-10,6,242.8125,77.7
2017-05-10,7,163.4375,50.6
2017-05-10,8,85,25.5
2017-05-10,9,23.4375,6.8
2017-05-10,10,13.4375,3.9
2017-05-10,11,12.1875,3.6
2017-05-18,0.1,275,108.1
2017-05-18,1,277.8125,107.1
2017-05-18,2,278.125,106.5
2017-05-18,3,305.9375,109.4
2017-05-18,4,265.625,91.6
2017-05-18,5,206.5625,69.1
2017-05-18,6,165.625,53.2
2017-05-18,7,93.75,29
2017-05-18,8,20.625,6.1
2017-05-18,9,14.6875,4.3
2017-05-18,10,13.125,3.9
2017-05-18,11,11.5625,3.7
2017-05-25,0.1,286.25,108.8
2017-05-25,1,287.5,109.1
2017-05-25,2,288.125,107.8
2017-05-25,3,285.625,108.4
2017-05-25,4,284.6875,105.9
2017-05-25,5,198.4375,68.2
2017-05-25,6,115.625,37.8
2017-05-25,7,75.625,24
2017-05-25,8,49.375,15.3
2017-05-25,9,17.1875,5.3
2017-05-25,10,15,4.5
2017-05-25,11,14.0625,4.2
2017-05-30,0.1,281.875,111
2017-05-30,1,281.875,110.6
2017-05-30,2,281.875,110.3
2017-05-30,3,290,106.5
2017-05-30,4,250,89.3
2017-05-30,5,180.625,61.6
2017-05-30,6,120.625,39.2
2017-05-30,7,62.5,19.5
2017-05-30,8,18.75,5.8
2017-05-30,9,15.3125,4.5
2017-05-30,10,14.6875,4.3
2017-05-30,11,14.0625,4.1
2017-06-01,0.1,290.625,115
2017-06-01,1,292.8125,115
2017-06-01,2,292.8125,114.2
2017-06-01,3,311.25,115.3
2017-06-01,4,260.625,92.3
2017-06-01,5,170,57.4
2017-06-01,6,110.9375,36.1
2017-06-01,7,58.4375,18.2
2017-06-01,8,24.375,7.4
2017-06-01,9,16.875,5
2017-06-01,10,15,4.5
2017-06-01,11,15.3125,4.4
2017-06-08,0.1,286.5625,110.3
2017-06-08,1,286.25,110.1
2017-06-08,2,285.9375,109.8
2017-06-08,3,281.5625,107.7
2017-06-08,4,209.0625,74.3
2017-06-08,5,148.75,50.8
2017-06-08,6,55,17.7
2017-06-08,7,30.9375,9.6
2017-06-08,8,15.625,4.8
2017-06-08,9,14.6875,4.4
2017-06-08,10,14.375,4.2
2017-06-08,11,14.375,4.2
2017-06-22,0.1,275.9375,115.8
2017-06-22,1,278.125,116.1
2017-06-22,2,279.375,116.2
2017-06-22,3,268.4375,105
