time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,CAR_dic,CAR_pH,SIL_rsi,CAR_ch4,PHY_cyano,PHY_cyano_IN,PHY_cyano_IP,PHY_green,PHY_green_IN,PHY_green_IP,PHY_diatom,PHY_diatom_IN,PHY_diatom_IP
2015-07-07,0,24.7899,0,251.1737,1.049,0.1502,0,19.2114,193.2442,11.3008,1.1004,9.9034,2.2007,0.055,0.4947,1.2826,54.9203,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-08,0,25.2264,0,249.778,0.557,0.0979,0.0328,31.2344,314.1813,18.3732,0.9293,8.364,1.8587,0.0103,0.0924,0.2395,55.6797,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-09,0,25.8726,0,247.7367,0.519,0.0714,0.0119,13.5517,136.3139,7.9716,0.2467,2.2204,0.4934,0.0185,0.1666,0.4319,38.2226,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-10,0,25.9557,0,247.4767,0.6839,0.206,0.0687,12.1875,122.5915,7.1691,0.0507,0.4562,0.1014,0.0177,0.1593,0.4129,63.966,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-11,0.2023,25.7013,0,248.2753,0.6015,0.0744,0.0078,21.2985,214.2378,12.5285,0.8898,8.0078,1.7795,0.0184,0.1655,0.429,60.0976,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-12,0.1567,25.2429,0,249.7253,0.1784,0.0417,0.0237,52.2537,525.6105,30.7375,1.2932,11.6389,2.5864,0.0133,0.1193,0.3093,50.8026,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-13,2.2759,25.0965,0,250.1917,0.4957,0.0568,0.051,27.2704,274.3086,16.0414,0.0997,0.8976,0.1995,0.0429,0.3859,1.0006,39.7627,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-14,2.9763,26.3955,0,246.1065,0.4917,0.0259,0.0918,62.1581,625.2377,36.5636,0.7348,6.6135,1.4697,0.0422,0.3794,0.9835,46.7346,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-15,2.1968,25.92705,0,247.5663,0.7444,0.0174,0,21.0203,211.4396,12.3649,0.8864,7.9776,1.7728,0.0457,0.4115,1.0668,44.7001,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-16,1.5378,25.7874,0,248.0045,0.5357,0.0904,0.0711,15.0012,150.8939,8.8242,0.9792,8.8125,1.9583,0.0113,0.1016,0.2634,56.4611,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-17,1.0764,25.85295,0,247.7985,0.4162,0.0051,0,0,0,0,1.1449,10.3037,2.2897,0.0535,0.4815,1.2483,47.1981,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-18,1.2869,26.91525,0,244.504,0.0447,0.1173,0.0778,20.1212,202.3952,11.836,0.9314,8.3822,1.8627,0.0014,0.0127,0.0328,84.833,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-19,0.9008,28.10835,0,240.8943,0.319,0.0745,0,20.0246,201.4237,11.7792,0.6913,6.2216,1.3826,0.0734,0.6606,1.7128,42.6307,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-20,0.6306,28.3233,0,240.2536,0.5536,0.1237,0.143,30.7509,309.3182,18.0888,0.4106,3.695,0.8211,0.0558,0.5019,1.3013,61.7451,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-21,0.4653,27.58545,0,242.4648,0.2848,0.0177,0.0131,45.906,461.7608,27.0036,0.8251,7.4256,1.6501,0.0044,0.0392,0.1017,39.7772,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
